"time_period","time_identifier","geographic_level","country_code","country_name","a_level_status","school_type","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200809,"Academic year","National","E92000001","England","Total","Independent",83.3,53.5,25399,16309,30475
200809,"Academic year","National","E92000001","England","Total","Selective State",89.2,43.8,18109,8889,20304
200809,"Academic year","National","E92000001","England","Total","Other State",70.1,15.6,151084,33625,215396
200809,"Academic year","National","E92000001","England","Total","Total",73.1,22.1,194592,58823,266175
200910,"Academic year","National","E92000001","England","Total","Independent",85,57.5,26559,17981,31247
200910,"Academic year","National","E92000001","England","Total","Selective State",89.9,49.2,18794,10275,20895
200910,"Academic year","National","E92000001","England","Total","Other State",71.2,17.7,158944,39546,223133
200910,"Academic year","National","E92000001","England","Total","Total",74.2,24.6,204297,67802,275275
201011,"Academic year","National","E92000001","England","ALevel","Independent",84,57.6,26137,17917,31099
201011,"Academic year","National","E92000001","England","ALevel","Selective State",90.9,49.6,18699,10200,20572
201011,"Academic year","National","E92000001","England","ALevel","Other State",78,21.3,145245,39575,186167
201011,"Academic year","National","E92000001","England","ALevel","Total",79.9,28.5,190081,67692,237838
201011,"Academic year","National","E92000001","England","Total","Independent",83.1,57.3,26932,18557,32404
201011,"Academic year","National","E92000001","England","Total","Selective State",90.9,49.6,19168,10458,21097
201011,"Academic year","National","E92000001","England","Total","Other State",70.8,17,170490,40991,240677
201011,"Academic year","National","E92000001","England","Total","Total",73.6,23.8,216590,70006,294178
201112,"Academic year","National","E92000001","England","ALevel","Independent",84.1,58,26233,18106,31199
201112,"Academic year","National","E92000001","England","ALevel","Selective State",90.5,53.4,19477,11501,21533
201112,"Academic year","National","E92000001","England","ALevel","Other State",76.2,22.5,146832,43337,192621
201112,"Academic year","National","E92000001","England","ALevel","Total",78.5,29.7,192542,72944,245353
201112,"Academic year","National","E92000001","England","Total","Independent",82.8,57.5,27274,18932,32949
201112,"Academic year","National","E92000001","England","Total","Selective State",90.5,53.6,19956,11819,22060
201112,"Academic year","National","E92000001","England","Total","Other State",67.4,17.4,175126,45302,259924
201112,"Academic year","National","E92000001","England","Total","Total",70.6,24.1,222356,76053,314933
201213,"Academic year","National","E92000001","England","ALevel","Independent",82.4,54.3,24744,16305,30041
201213,"Academic year","National","E92000001","England","ALevel","Selective State",90.7,48.9,19204,10350,21169
201213,"Academic year","National","E92000001","England","ALevel","Other State",75.7,19.6,144038,37327,190177
201213,"Academic year","National","E92000001","England","ALevel","Total",77.9,26.5,187986,63982,241387
201213,"Academic year","National","E92000001","England","Total","Independent",81.2,53.9,25829,17150,31824
201213,"Academic year","National","E92000001","England","Total","Selective State",90.7,48.9,19740,10650,21763
201213,"Academic year","National","E92000001","England","Total","Other State",65.8,14.8,173281,39091,263492
201213,"Academic year","National","E92000001","England","Total","Total",69,21.1,218850,66891,317079
201314,"Academic year","National","E92000001","England","ALevel","Independent",82.1,55.8,25398,17257,30922
201314,"Academic year","National","E92000001","England","ALevel","Selective State",88.7,49.3,19115,10623,21551
201314,"Academic year","National","E92000001","England","ALevel","Other State",74.2,20.4,142901,39185,192516
201314,"Academic year","National","E92000001","England","ALevel","Total",76.5,27.4,187414,67065,244989
201314,"Academic year","National","E92000001","England","Total","Independent",81.1,55.5,26475,18123,32659
201314,"Academic year","National","E92000001","England","Total","Selective State",88.7,49.4,19616,10931,22108
201314,"Academic year","National","E92000001","England","Total","Other State",63.3,14.8,174864,40887,276138
201314,"Academic year","National","E92000001","England","Total","Total",66.8,21.1,220955,69941,330905
201415,"Academic year","National","E92000001","England","ALevel","Independent",82.8,57.2,25206,17427,30460
201415,"Academic year","National","E92000001","England","ALevel","Selective State",90.1,53.1,19638,11569,21795
201415,"Academic year","National","E92000001","England","ALevel","Other State",76.4,22.8,145968,43501,191150
201415,"Academic year","National","E92000001","England","ALevel","Total",78.4,29.8,190812,72497,243405
201415,"Academic year","National","E92000001","England","Total","Independent",81.7,56.9,26323,18343,32234
201415,"Academic year","National","E92000001","England","Total","Selective State",90.1,53.3,20162,11922,22377
201415,"Academic year","National","E92000001","England","Total","Other State",64.6,16,185321,45833,287087
201415,"Academic year","National","E92000001","England","Total","Total",67.8,22.3,231806,76098,341698
201516,"Academic year","National","E92000001","England","ALevel","Independent",83.1,56.8,24733,16904,29747
201516,"Academic year","National","E92000001","England","ALevel","Selective State",90.4,52.4,19388,11246,21445
201516,"Academic year","National","E92000001","England","ALevel","Other State",77.7,22.6,145414,42392,187211
201516,"Academic year","National","E92000001","England","ALevel","Total",79.5,29.6,189535,70542,238403
201516,"Academic year","National","E92000001","England","Total","Independent",81.9,56.5,26077,17986,31823
201516,"Academic year","National","E92000001","England","Total","Selective State",90.4,52.6,19975,11624,22104
201516,"Academic year","National","E92000001","England","Total","Other State",65,15.4,191095,45205,293879
201516,"Academic year","National","E92000001","England","Total","Total",68.2,21.5,237147,74815,347806
201617,"Academic year","National","E92000001","England","ALevel","Independent",83.1,55.2,25783,17124,31023
201617,"Academic year","National","E92000001","England","ALevel","Selective State",90.5,50.3,19683,10952,21756
201617,"Academic year","National","E92000001","England","ALevel","Other State",78.1,21.4,150034,41026,192024
201617,"Academic year","National","E92000001","England","ALevel","Total",79.9,28.2,195500,69102,244803
201617,"Academic year","National","E92000001","England","Total","Independent",81.9,54.9,27084,18140,33071
201617,"Academic year","National","E92000001","England","Total","Selective State",90.4,50.4,20331,11334,22491
201617,"Academic year","National","E92000001","England","Total","Other State",66.3,14.7,197161,43752,297580
201617,"Academic year","National","E92000001","England","Total","Total",69.3,20.7,244576,73226,353142
201718,"Academic year","National","E92000001","England","ALevel","Independent",86.2,56.8,26284,17333,30494
201718,"Academic year","National","E92000001","England","ALevel","Selective State",90.1,50,19988,11082,22181
201718,"Academic year","National","E92000001","England","ALevel","Other State",75.5,20.1,155766,41488,206431
201718,"Academic year","National","E92000001","England","ALevel","Total",78,27,202038,69903,259106
201718,"Academic year","National","E92000001","England","Total","Independent",85.3,56.9,27674,18473,32452
201718,"Academic year","National","E92000001","England","Total","Selective State",90.2,50.3,20667,11537,22925
201718,"Academic year","National","E92000001","England","Total","Other State",67.3,15.5,187540,43170,278826
201718,"Academic year","National","E92000001","England","Total","Total",70.6,21.9,235881,73180,334203
201819,"Academic year","National","E92000001","England","ALevel","Independent",86.1,56.4,26931,17632,31282
201819,"Academic year","National","E92000001","England","ALevel","Selective State",89.4,50.3,20126,11317,22520
201819,"Academic year","National","E92000001","England","ALevel","Other State",75.5,21.9,154883,45011,205076
201819,"Academic year","National","E92000001","England","ALevel","Total",78,28.6,201940,73960,258878
201819,"Academic year","National","E92000001","England","Total","Independent",85.3,56.4,28380,18761,33268
201819,"Academic year","National","E92000001","England","Total","Selective State",89.4,50.5,20811,11763,23283
201819,"Academic year","National","E92000001","England","Total","Other State",67.5,16.8,189008,47078,279915
201819,"Academic year","National","E92000001","England","Total","Total",70.8,23.1,238199,77602,336466
201920,"Academic year","National","E92000001","England","ALevel","Independent",86.8,56.7,26505,17302,30523
201920,"Academic year","National","E92000001","England","ALevel","Selective State",88.8,48.5,20151,10999,22696
201920,"Academic year","National","E92000001","England","ALevel","Other State",76.6,22.1,151363,43721,197503
201920,"Academic year","National","E92000001","England","ALevel","Total",79,28.7,198019,72022,250722
201920,"Academic year","National","E92000001","England","Total","Independent",86.2,56.9,27995,18498,32495
201920,"Academic year","National","E92000001","England","Total","Selective State",88.7,48.7,20874,11463,23529
201920,"Academic year","National","E92000001","England","Total","Other State",73.9,20.4,160578,44328,217176
201920,"Academic year","National","E92000001","England","Total","Total",76.7,27.2,209447,74289,273200
202021,"Academic year","National","E92000001","England","ALevel","Independent",87.3,57.3,26532,17418,30406
202021,"Academic year","National","E92000001","England","ALevel","Selective State",89.4,49.3,19388,10696,21682
202021,"Academic year","National","E92000001","England","ALevel","Other State",78.6,23.4,151778,45211,193043
202021,"Academic year","National","E92000001","England","ALevel","Total",80.6,29.9,197698,73325,245131
202021,"Academic year","National","E92000001","England","Total","Independent",86.3,57.4,28064,18651,32504
202021,"Academic year","National","E92000001","England","Total","Selective State",89.3,49.5,20185,11190,22591
202021,"Academic year","National","E92000001","England","Total","Other State",74.5,20.5,168330,46273,226029
202021,"Academic year","National","E92000001","England","Total","Total",77,27.1,216579,76114,281124
202122,"Academic year","National","E92000001","England","ALevel","Independent",88.7,63.2,26494,18864,29865
202122,"Academic year","National","E92000001","England","ALevel","Selective State",91,54,20073,11916,22067
202122,"Academic year","National","E92000001","England","ALevel","Other State",81.4,27.7,159932,54535,196553
202122,"Academic year","National","E92000001","England","ALevel","Total",83.1,34.3,206499,85315,248485
202122,"Academic year","National","E92000001","England","Total","Independent",87.6,62.8,28253,20239,32240
202122,"Academic year","National","E92000001","England","Total","Selective State",90.9,54.2,20844,12436,22935
202122,"Academic year","National","E92000001","England","Total","Other State",76.4,23.6,181247,55897,237233
202122,"Academic year","National","E92000001","England","Total","Total",78.8,30.3,230344,88572,292408
